State,CMS Certification Number (CCN),Provider Name,Address,City/Town,ZIP Code,Telephone Number,Type of Ownership,Offers Nursing Care Services,Offers Physical Therapy Services,Offers Occupational Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,Offers Home Health Aide Services,Certification Date,Quality of patient care star rating,Footnote for quality of patient care star rating,Numerator for how often the home health team began their patients' care in a timely manner,Denominator for how often the home health team began their patients' care in a timely manner,How often the home health team began their patients' care in a timely manner,Footnote for how often the home health team began their patients' care in a timely manner,Numerator for how often the home health team determined whether patients received a flu shot for the current flu season,Denominator for how often the home health team determined whether patients received a flu shot for the current flu season,How often the home health team determined whether patients received a flu shot for the current flu season,Footnote for how often the home health team determined whether patients received a flu shot for the current flu season,Numerator for how often patients got better at walking or moving around,Denominator for how often patients got better at walking or moving around,How often patients got better at walking or moving around,Footnote for how often patients got better at walking or moving around,Numerator for how often patients got better at getting in and out of bed,Denominator for how often patients got better at getting in and out of bed,How often patients got better at getting in and out of bed,Footnote for how often patients got better at getting in and out of bed,Numerator for how often patients got better at bathing,Denominator for how often patients got better at bathing,How often patients got better at bathing,Footnote for how often patients got better at bathing,Numerator for how often patients' breathing improved,Denominator for how often patients' breathing improved,How often patients' breathing improved,Footnote for how often patients' breathing improved,Numerator for how often patients got better at taking their drugs correctly by mouth,Denominator for how often patients got better at taking their drugs correctly by mouth,How often patients got better at taking their drugs correctly by mouth,Footnote for how often patients got better at taking their drugs correctly by mouth,Numerator for Changes in skin integrity post-acute care: pressure ulcer/injury,Denominator for Changes in skin integrity post-acute care: pressure ulcer/injury,Changes in skin integrity post-acute care: pressure ulcer/injury,Footnote Changes in skin integrity post-acute care: pressure ulcer/injury,Numerator for how often physician-recommended actions to address medication issues were completely timely,Denominator for how often physician-recommended actions to address medication issues were completely timely,How often physician-recommended actions to address medication issues were completely timely,Footnote for how often physician-recommended actions to address medication issues were completely timely,Numerator for Percent of Residents Experiencing One or More Falls with Major Injury,Denominator for Percent of Residents Experiencing One or More Falls with Major Injury,Percent of Residents Experiencing One or More Falls with Major Injury,Footnote for Percent of Residents Experiencing One or More Falls with Major Injury,Numerator for Discharge Function Score,Denominator for Discharge Function Score,Discharge Function Score,Footnote for Discharge Function Score,Numerator for Transfer of Health Information to the Provider,Denominator for Transfer of Health Information to the Provider,Transfer of Health Information to the Provider,Footnote for Transfer of Health Information to the Provider,Numerator for Transfer of Health Information to the Patient,Denominator for Transfer of Health Information to the Patient,Transfer of Health Information to the Patient,Footnote for Transfer of Health Information to the Patient,DTC Numerator,DTC Denominator,DTC Observed Rate,DTC Risk-Standardized Rate,DTC Risk-Standardized Rate (Lower Limit),DTC Risk-Standardized Rate (Upper Limit),DTC Performance Categorization,Footnote for DTC Risk-Standardized Rate,PPR Numerator,PPR Denominator,PPR Observed Rate,PPR Risk-Standardized Rate,PPR Risk-Standardized Rate (Lower Limit),PPR Risk-Standardized Rate (Upper Limit),PPR Performance Categorization,Footnote for PPR Risk-Standardized Rate,PPH Numerator,PPH Denominator,PPH Observed Rate,PPH Risk-Standardized Rate,PPH Risk-Standardized Rate (Lower Limit),PPH Risk-Standardized Rate (Upper Limit),PPH Performance Categorization,Footnote for PPH Risk-Standardized Rate,"How much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","Footnote for how much Medicare spends on an episode of care at this agency, compared to Medicare spending across all agencies nationally","No. of episodes to calc how much Medicare spends per episode of care at agency, compared to spending at all agencies (national)",_lead_score,_signals
CA,557581,PARAMOUNT HOME HEALTH SERVICES,9420 TOPANGA CANYON BLVD SUITE 202,CHATSWORTH,91311,2139890888,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,08/24/1995,2,-,38,79,48.10,-,43,54,79.63,-,24,46,77.17,-,14,43,62.21,-,26,46,73.60,-,-,-,-,The number of patient episodes for this measure is too small to report.,13,35,63.14,-,0,49,0.00,-,65,79,82.28,-,3,71,4.23,-,26,46,56.52,-,28,50,56.00,-,27,29,93.10,-,65,90,72.22,77.58,68.38,86.12,Same As National Rate,-,1,20,5.00,4.12,2.75,5.89,Same As National Rate,-,5,45,11.11,10.95,5.99,18.17,Same As National Rate,-,1.04,-,242,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,559125,"BELANI HOME HEALTH CARE, INC","2609 WEST WYOMING AVE, SUITE B",BURBANK,91505,8188357986,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,11/13/2019,2,-,52,70,74.29,-,6,55,10.91,-,11,54,40.68,-,11,54,48.47,-,22,53,51.30,-,28,53,58.97,-,49,54,98.58,-,0,55,0.00,-,22,70,31.43,-,0,70,0.00,-,22,54,40.74,-,-,-,-,The number of patient episodes for this measure is too small to report.,52,54,96.30,-,65,68,95.59,90.05,83.11,93.74,Better Than National Rate,-,-,3,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0,29,0.00,8.64,4.01,16.71,Same As National Rate,-,0.84,-,217,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,559127,"PROMED HEALTH PROVIDERS, INC","1614 VICTORY BLVD, SUITE 104",GLENDALE,91201,8183928080,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,12/20/2019,2,-,64,80,80.00,-,6,53,11.32,-,31,55,75.76,-,35,55,68.01,-,39,55,78.09,-,28,47,65.75,-,27,49,76.26,-,0,55,0.00,-,30,81,37.04,-,0,81,0.00,-,15,55,27.27,-,2,44,4.55,-,26,36,72.22,-,100,134,74.63,79.36,69.30,86.60,Same As National Rate,-,2,24,8.33,4.21,2.84,6.06,Same As National Rate,-,10,99,10.10,11.26,7.26,17.77,Same As National Rate,-,0.97,-,266,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,559182,ACEPTIO HOME HEALTH CARE,"9198 GREENBACK LANE, SUITE 102",ORANGEVALE,95662,9169695869,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,04/13/2020,1.5,-,62,79,78.48,-,8,50,16.00,-,22,46,60.40,-,23,40,71.68,-,26,46,68.98,-,-,-,-,The number of patient episodes for this measure is too small to report.,19,41,59.78,-,0,50,0.00,-,46,84,54.76,-,1,84,1.19,-,34,50,68.00,-,15,45,33.33,-,26,39,66.67,-,56,76,73.68,78.88,68.56,86.41,Same As National Rate,-,4,34,11.76,4.49,3.12,6.36,Same As National Rate,-,7,41,17.07,14.56,8.73,25.98,Same As National Rate,-,0.97,-,71,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,559218,"REGENCY HOME HEALTH CARE, INC",60 ALTA ST SUITE 202,ARCADIA,91006,7474771787,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,03/27/2020,2,-,35,45,77.78,-,2,32,6.25,-,24,36,73.91,-,22,36,68.48,-,24,36,69.00,-,24,27,94.08,-,12,36,47.42,-,0,36,0.00,-,26,46,56.52,-,0,46,0.00,-,15,36,41.67,-,-,-,-,The number of patient episodes for this measure is too small to report.,28,28,100.00,-,69,78,88.46,87.26,79.56,91.87,Better Than National Rate,-,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,3,48,6.25,10.46,5.84,19.10,Same As National Rate,-,0.89,-,115,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,559347,MAGNA VITAE,7200 VINELAND AVENUE SUITE 214,SUN VALLEY,91352,8185222975,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,12/15/2020,1,-,17,24,70.83,-,1,21,4.76,-,6,21,35.42,-,8,21,44.53,-,6,21,35.47,-,8,20,43.05,-,11,21,60.68,-,0,22,0.00,-,17,24,70.83,-,0,24,0.00,-,4,21,19.05,-,-,-,-,The number of patient episodes for this measure is too small to report.,-,-,-,The number of patient episodes for this measure is too small to report.,-,3,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,4,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0.74,-,32,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,559411,"ALL SUPPORT AT HOME, LLC","1038 LEIGH AVE, SUITE 216",SAN JOSE,95126,4089711997,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,02/04/2021,2.5,-,55,62,88.71,-,30,37,81.08,-,39,55,74.49,-,34,55,83.72,-,44,55,82.98,-,27,36,81.23,-,28,40,80.78,-,0,57,0.00,-,51,62,82.26,-,0,62,0.00,-,38,55,69.09,-,-,-,-,The number of patient episodes for this measure is too small to report.,28,46,60.87,-,58,72,80.56,83.04,72.75,89.75,Same As National Rate,-,-,12,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,4,55,7.27,10.59,6.30,17.20,Same As National Rate,-,0.88,-,92,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,559430,"YOUR HOMECARE SERVICE, INC",1575 N LAKE AVE SUITE 203,PASADENA,91104,7472253729,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,12/10/2020,2,-,35,40,87.50,-,11,35,31.43,-,27,36,75.69,-,9,36,49.02,-,23,36,61.86,-,27,34,83.80,-,17,36,50.01,-,0,36,0.00,-,22,40,55.00,-,0,40,0.00,-,12,36,33.33,-,-,-,-,The number of patient episodes for this measure is too small to report.,36,36,100.00,-,23,23,100.00,88.28,78.06,92.16,Better Than National Rate,-,-,2,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0,24,0.00,9.16,4.36,18.58,Same As National Rate,-,0.91,-,66,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,559472,AMERICA'S BEST CARE,"8937 DE SOTO AVE, UNIT 200",CANOGA PARK,91304,8185271627,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,02/24/2021,2.5,-,67,75,89.33,-,13,53,24.53,-,61,65,96.45,-,43,65,71.82,-,58,65,89.48,-,35,65,54.63,-,23,65,53.23,-,0,65,0.00,-,59,75,78.67,-,0,75,0.00,-,30,65,46.15,-,-,-,-,The number of patient episodes for this measure is too small to report.,61,63,96.83,-,76,86,88.37,96.12,87.36,101.09,Better Than National Rate,-,0,25,0.00,3.93,2.58,5.50,Same As National Rate,-,4,45,8.89,9.25,5.55,14.88,Same As National Rate,-,0.94,-,188,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,559494,MAYERLING HOME HEALTH LLC,1100 E BROADWAY SUITE 308,GLENDALE,91205,8186590841,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,01/01/2021,2,-,44,57,77.19,-,28,44,63.64,-,38,52,74.90,-,37,52,77.28,-,35,52,65.94,-,36,52,70.46,-,26,52,63.03,-,0,53,0.00,-,39,58,67.24,-,0,58,0.00,-,28,52,53.85,-,-,-,-,The number of patient episodes for this measure is too small to report.,40,52,76.92,-,53,60,88.33,86.42,77.55,91.79,Same As National Rate,-,-,1,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0,26,0.00,8.71,4.01,19.64,Same As National Rate,-,0.71,-,271,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,559513,"ASCLEPIUS HOME HEALTH CARE, INC",28100 BOUQUET CANYON RD SUITE 209,SANTA CLARITA,91350,8185584070,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,10/01/2020,1,-,42,53,79.25,-,4,34,11.76,-,4,25,35.07,-,3,25,22.85,-,6,26,36.97,-,-,-,-,The number of patient episodes for this measure is too small to report.,6,23,50.17,-,0,26,0.00,-,14,53,26.42,-,0,53,0.00,-,12,26,46.15,-,4,29,13.79,-,0,22,0.00,-,-,9,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,4,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,9,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0.75,-,23,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,559531,"ASCEND HOME HEALTHCARE CARE, INC","14435 HAMLIN ST, SUITE B-1",VAN NUYS,91401,8187328586,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,02/23/2021,2.5,-,61,68,89.71,-,42,59,71.19,-,24,56,65.11,-,9,56,51.01,-,53,56,91.11,-,51,56,90.23,-,44,56,86.93,-,0,56,0.00,-,27,68,39.71,-,0,68,0.00,-,8,56,14.29,-,-,-,-,The number of patient episodes for this measure is too small to report.,48,54,88.89,-,85,91,93.41,90.05,84.84,94.08,Better Than National Rate,-,-,6,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,2,41,4.88,9.83,5.17,17.63,Same As National Rate,-,0.92,-,224,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,559637,"CHERUB HOME HEALTH, INC",16200 VENTURA BLVD SUITE 424,ENCINO,91436,8184735448,-,-,-,-,-,-,-,10/08/2021,1.5,-,32,37,86.49,-,1,27,3.70,-,10,34,38.86,-,8,34,30.71,-,11,34,39.69,-,11,30,44.28,-,6,26,46.14,-,0,37,0.00,-,25,41,60.98,-,0,41,0.00,-,15,36,41.67,-,22,23,95.65,-,-,-,-,The number of patient episodes for this measure is too small to report.,32,43,74.42,88.10,76.26,98.61,Same As National Rate,-,-,13,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,3,39,7.69,9.32,5.95,15.74,Same As National Rate,-,1.16,-,96,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,559668,FIRST RELIABLE,16501 SHERMAN WAY SUITE 105,VAN NUYS,91406,8188496357,-,-,-,-,-,-,-,11/18/2021,2.5,-,39,45,86.67,-,19,32,59.38,-,20,26,88.24,-,16,26,76.48,-,22,26,91.84,-,18,26,75.01,-,13,26,75.98,-,0,26,0.00,-,36,45,80.00,-,0,45,0.00,-,14,26,53.85,-,36,36,100.00,-,-,-,-,The number of patient episodes for this measure is too small to report.,57,66,86.36,89.23,79.85,95.32,Better Than National Rate,-,3,28,10.71,4.38,2.91,6.05,Same As National Rate,-,5,28,17.86,13.35,8.00,22.63,Same As National Rate,-,0.93,-,202,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,559687,DIGNITONIC HOME CARE LLC,2600 W OLIVE AVE SUITE 535,BURBANK,91505,8185338080,-,-,-,-,-,-,-,12/01/2021,1.5,-,36,46,78.26,-,0,33,0.00,-,14,33,58.15,-,9,33,40.01,-,13,33,44.32,-,-,-,-,The number of patient episodes for this measure is too small to report.,11,33,58.73,-,1,33,2.93,-,34,46,73.91,-,0,46,0.00,-,4,33,12.12,-,18,26,69.23,-,-,-,-,The number of patient episodes for this measure is too small to report.,66,111,59.46,64.76,53.64,72.79,Worse Than National Rate,-,2,24,8.33,4.25,2.86,5.81,Same As National Rate,-,7,62,11.29,11.55,7.04,16.93,Same As National Rate,-,0.89,-,281,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,559698,"PERMANENT HOME HEALTH, INC.","1100 E BROADWAY, SUITE 204",GLENDALE,91205,8183307970,-,-,-,-,-,-,-,01/05/2022,1.5,-,54,69,78.26,-,48,69,69.57,-,51,64,82.43,-,42,64,66.98,-,55,64,83.56,-,42,63,65.97,-,20,64,35.37,-,0,64,0.00,-,53,70,75.71,-,0,70,0.00,-,29,64,45.31,-,-,-,-,The number of patient episodes for this measure is too small to report.,64,64,100.00,-,15,20,75.00,73.17,54.94,84.13,Same As National Rate,-,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,9,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,1.41,-,25,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,753142,AFFINITY HOME HEALTH RESOURCES,5236 COLODNY DR SUITE 205,AGOURA HILLS,91301,7472017607,-,-,-,-,-,-,-,06/28/2022,2,-,57,75,76.00,-,24,55,43.64,-,16,45,54.12,-,23,45,62.02,-,29,45,79.22,-,17,30,64.30,-,26,45,87.85,-,0,47,0.00,-,50,75,66.67,-,1,75,1.33,-,11,45,24.44,-,47,49,95.92,-,24,26,92.31,-,29,47,61.70,67.70,54.31,79.65,Same As National Rate,-,-,7,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,5,44,11.36,11.25,6.39,18.28,Same As National Rate,-,1.03,-,139,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,757008,RAINBOW HOME HEALTH CARE,225 E BROADWAY STE. B105A,GLENDALE,91205,8185367385,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,03/22/2022,2.5,-,41,46,89.13,-,17,36,47.22,-,30,34,86.99,-,28,34,78.03,-,30,34,86.77,-,22,31,76.79,-,16,32,59.14,-,0,34,0.00,-,32,46,69.57,-,0,46,0.00,-,12,34,35.29,-,-,-,-,The number of patient episodes for this measure is too small to report.,27,32,84.38,-,11,20,55.00,60.51,43.84,77.34,Worse Than National Rate,-,-,1,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0,20,0.00,8.88,4.70,17.32,Same As National Rate,-,0.73,-,66,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,757066,"COMMONWEALTH HOME HEALTH CARE, INC",22025 VENTURA BLVD,WOODLAND HILLS,91364,-,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,06/24/2022,2,-,53,59,89.83,-,1,40,2.50,-,12,51,47.81,-,3,51,35.65,-,26,51,49.41,-,38,49,83.92,-,20,50,47.08,-,0,51,0.00,-,45,59,76.27,-,3,59,5.08,-,12,51,23.53,-,-,-,-,The number of patient episodes for this measure is too small to report.,48,51,94.12,-,35,39,89.74,89.10,75.34,96.40,Same As National Rate,-,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,0,28,0.00,8.03,4.14,14.77,Same As National Rate,-,0.96,-,119,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,757081,"INTEGRAL HOME HEALTH CARE, INC",14547 TITUS ST.,PANORAMA CITY,91402,-,PROPRIETARY,Yes,Yes,Yes,Yes,Yes,Yes,05/09/2022,1.5,-,33,57,57.89,-,30,39,76.92,-,28,38,76.59,-,12,38,43.71,-,28,38,70.00,-,8,38,24.27,-,14,38,42.81,-,0,39,0.00,-,41,57,71.93,-,2,57,3.51,-,1,38,2.63,-,-,-,-,The number of patient episodes for this measure is too small to report.,35,37,94.59,-,24,36,66.67,78.39,60.94,91.31,Same As National Rate,-,-,5,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,9,26,34.62,15.52,9.31,23.00,Same As National Rate,-,1.37,-,137,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,757145,NEWSTART HOME HEALTH INC,6262 GLADE AVE UNIT 26,WOODLAND HILLS,91367,7472874978,-,-,-,-,-,-,-,08/11/2022,1,-,32,38,84.21,-,8,30,26.67,-,9,25,43.29,-,8,25,41.94,-,13,25,59.47,-,-,-,-,The number of patient episodes for this measure is too small to report.,6,24,38.64,-,0,26,0.00,-,32,38,84.21,-,0,38,0.00,-,8,25,32.00,-,-,-,-,The number of patient episodes for this measure is too small to report.,18,20,90.00,-,-,6,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,8,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,1.40,-,31,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,757166,COLORADO RIVER HOME HEALTH,9003 RESEDA BLVD. SUITE 208,NORTHRIDGE,91324,9092788343,-,-,-,-,-,-,-,06/10/2022,1,-,20,31,64.52,-,11,26,42.31,-,15,27,69.59,-,10,27,56.84,-,18,27,67.57,-,9,26,42.10,-,8,27,42.94,-,0,27,0.00,-,14,31,45.16,-,0,31,0.00,-,11,27,40.74,-,-,-,-,The number of patient episodes for this measure is too small to report.,24,25,96.00,-,-,1,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,2,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,The number of patient episodes for this measure is too small to report.,2,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,757224,"LOYAL HANDS HOME HEALTH CARE, INC.",825 COLORADO BLVD,LOS ANGELES,90041,-,-,-,-,-,-,-,-,02/28/2023,1.5,-,69,84,82.14,-,24,52,46.15,-,24,41,74.09,-,28,41,71.61,-,31,41,78.44,-,17,38,49.14,-,13,38,48.51,-,0,41,0.00,-,65,84,77.38,-,2,84,2.38,-,3,41,7.32,-,42,78,53.85,-,-,-,-,The number of patient episodes for this measure is too small to report.,31,42,73.81,79.08,64.14,88.69,Same As National Rate,-,-,4,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,2,36,5.56,9.38,4.99,15.68,Same As National Rate,-,1.14,-,161,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,757252,NU CARE HOME HEALTH,10134 6TH STREET,RANCHO CUCAMONGA,91730,9097554000,-,-,-,-,-,-,-,03/17/2023,1.5,-,60,67,89.55,-,36,41,87.80,-,19,51,50.79,-,13,48,51.31,-,28,51,68.05,-,16,31,65.63,-,15,45,55.66,-,0,51,0.00,-,49,67,73.13,-,0,67,0.00,-,16,51,31.37,-,38,41,92.68,-,26,26,100.00,-,-,19,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,3,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,5,24,20.83,12.88,7.62,21.58,Same As National Rate,-,1.00,-,47,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,757301,"SWIFT HOME HEALTH, INC.",7120 HAYVENHURST AVE SUITE 214,VAN NUYS,91406,-,-,-,-,-,-,-,-,06/09/2023,1.5,-,50,57,87.72,-,16,40,40.00,-,11,38,49.56,-,24,38,65.01,-,25,38,74.76,-,22,38,69.88,-,15,36,53.26,-,0,38,0.00,-,29,57,50.88,-,0,57,0.00,-,4,38,10.53,-,16,20,80.00,-,12,37,32.43,-,-,3,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,3,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,The number of patient episodes for this measure is too small to report.,8,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,757325,"THE HOME HEALTH AGENCY, INC.",4730 WOODMAN AVE SUITE 303,SHERMAN OAKS,91423,8182353333,-,-,-,-,-,-,-,06/29/2023,2.5,-,34,39,87.18,-,1,36,2.78,-,27,33,86.80,-,25,33,75.48,-,32,33,95.59,-,18,33,57.75,-,17,32,62.35,-,0,33,0.00,-,31,39,79.49,-,0,39,0.00,-,7,33,21.21,-,11,25,44.00,-,-,-,-,The number of patient episodes for this measure is too small to report.,-,9,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,1,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,10,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0.94,-,31,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,757333,"LUZ HOME HEALTH CARE, INC",2701 E GAGE AVE UNIT 203,HUNTINGTON PARK,90255,3235539104,-,-,-,-,-,-,-,02/21/2023,1,-,65,73,89.04,-,36,46,78.26,-,3,31,45.43,-,2,30,41.47,-,4,31,30.58,-,9,23,65.87,-,3,30,47.38,-,0,31,0.00,-,4,75,5.33,-,2,75,2.67,-,15,31,48.39,-,40,44,90.91,-,24,29,82.76,-,-,6,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,1,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,8,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,The number of patient episodes for this measure is too small to report.,14,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,757402,ELITE COMFORT HOME HEALTH CARE,21405 DEVONSHIRE ST SUITE 221,CHATSWORTH,91311,7474441303,-,-,-,-,-,-,-,09/08/2023,1,-,22,36,61.11,-,3,30,10.00,-,9,34,40.06,-,5,34,35.49,-,9,35,27.04,-,0,35,0.00,-,0,35,0.00,-,0,36,0.00,-,28,36,77.78,-,0,36,0.00,-,1,35,2.86,-,-,-,-,The number of patient episodes for this measure is too small to report.,35,35,100.00,-,-,9,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,11,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0.97,-,26,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,757417,"MELA HOME HEALTH, CORP",539 N GLENOAKS BLVD. UNIT 301-A,BURBANK,91502,7478779077,-,-,-,-,-,-,-,08/23/2023,2.5,-,51,85,60.00,-,30,71,42.25,-,70,76,100.00,-,53,76,87.38,-,70,76,91.99,-,47,76,68.66,-,37,76,62.03,-,0,76,0.00,-,59,85,69.41,-,0,82,0.00,-,22,76,28.95,-,-,-,-,The number of patient episodes for this measure is too small to report.,71,74,95.95,-,-,19,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,18,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0.90,-,45,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,757484,HEALING DAYS HOME HEALTH INC,1545 N VERDUGO RD SUITE 218,GLENDALE,91208,3234483616,-,-,-,-,-,-,-,11/27/2023,2,-,31,41,75.61,-,25,37,67.57,-,21,28,77.32,-,19,28,73.88,-,22,28,84.68,-,-,-,-,The number of patient episodes for this measure is too small to report.,11,28,57.25,-,0,28,0.00,-,2,41,4.88,-,0,41,0.00,-,8,28,28.57,-,-,-,-,The number of patient episodes for this measure is too small to report.,26,27,96.30,-,-,10,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,3,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,12,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,0.79,-,24,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,757509,SWEET SUNSHINE HOME HEALTH,7335 TOPANGA CANYON BLVD SUITE 205,CANOGA PARK,91303,7477774431,-,-,-,-,-,-,-,12/16/2023,1.5,-,31,35,88.57,-,0,33,0.00,-,26,34,77.60,-,17,34,46.77,-,28,34,76.75,-,0,34,0.00,-,-,-,-,The number of patient episodes for this measure is too small to report.,0,34,0.00,-,0,35,0.00,-,0,35,0.00,-,0,34,0.00,-,-,-,-,The number of patient episodes for this measure is too small to report.,33,33,100.00,-,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,170,Low CMS star rating; Timely care performance gap; Quality performance concern
CA,757561,HEROIC HOME HEALTH CARE,14545 FRIAR ST SUITE 135,VAN NUYS,91411,7472866672,-,-,-,-,-,-,-,04/09/2024,2.5,-,18,21,85.71,-,0,20,0.00,-,7,21,56.77,-,2,21,47.61,-,20,21,97.55,-,20,21,100.00,-,5,21,49.58,-,0,21,0.00,-,9,21,42.86,-,0,21,0.00,-,18,21,85.71,-,20,20,100.00,-,-,-,-,The number of patient episodes for this measure is too small to report.,-,2,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,-,-,-,-,-,-,This measure currently does not have data or provider has been certified/recertified for less than 6 months.,-,2,-,-,-,-,Not Available,The number of patient episodes for this measure is too small to report.,-,The number of patient episodes for this measure is too small to report.,12,170,Low CMS star rating; Timely care performance gap; Quality performance concern
